City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Mayen,DE,2022-11-30 04:18:41,50.3333,7.2167,43.29,93,100,1.83
271,Sur,OM,2022-11-30 04:18:41,22.5667,59.5289,78.58,51,3,7.07
272,Cadillac,US,2022-11-30 04:15:33,44.2519,-85.4012,48.11,93,100,12.66
273,Mandurah,AU,2022-11-30 04:16:25,-32.55,115.7,73.17,69,25,18.7
274,Yamada,JP,2022-11-30 04:18:42,39.4667,141.95,55.36,58,83,10.74
275,Gravdal,NO,2022-11-30 04:18:42,68.1214,13.5031,40.89,81,75,11.5
276,Ranong,TH,2022-11-30 04:18:42,9.9658,98.6348,87.73,65,71,4.29
277,Uniontown,US,2022-11-30 04:18:43,39.9001,-79.7164,53.94,43,100,1.01
278,Yaring,TH,2022-11-30 04:18:43,6.8662,101.3689,84.36,70,55,8.86
279,Lensk,RU,2022-11-30 04:18:43,60.7253,114.9278,-9.53,93,100,14.83
280,Marawi,PH,2022-11-30 04:18:43,7.9986,124.2928,78.17,75,96,6.91
281,Ceres,US,2022-11-30 04:18:44,37.5949,-120.9577,48.79,81,0,0.0
282,Novyy Urengoy,RU,2022-11-30 04:18:44,66.0833,76.6333,-6.3,100,58,3.38
283,Porto Belo,BR,2022-11-30 04:18:44,-27.1578,-48.5531,73.89,95,100,16.42
284,Touros,BR,2022-11-30 04:18:45,-5.1989,-35.4608,77.25,73,83,7.78
285,Santiago De Cao,PE,2022-11-30 04:18:45,-7.9589,-79.2392,64.53,88,75,4.61
286,Alta Floresta,BR,2022-11-30 04:18:45,-9.8756,-56.0861,67.91,97,97,2.44
287,Dudinka,RU,2022-11-30 04:18:45,69.4058,86.1778,-7.49,100,100,3.44
288,Linares,CL,2022-11-30 04:18:46,-35.85,-71.6,54.81,70,49,3.53
289,Najran,SA,2022-11-30 04:18:46,17.4924,44.1277,56.05,40,3,1.79
290,West Plains,US,2022-11-30 04:18:46,36.7281,-91.8524,41.83,75,100,15.01
291,Ostrovskoye,RU,2022-11-30 04:18:47,57.8057,42.2433,5.94,97,46,1.83
292,Santander,ES,2022-11-30 04:16:35,43.4647,-3.8044,52.47,91,100,1.01
